address,create_time,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime
0x10d4b24938f6de7ae4048c7273f09c50d5caf4d9,2016-10-25T23:24:27,0,0,0.0,0.0,0,0,0,0,0,0,0,125892973
0xd8b1dbfb8b49ef585044beb271714c768d4fa2ee,2016-11-10T00:55:41,0,0,0.0,0.0,0,0,0,0,0,0,0,5441517
0x1218113304d8ffb12f4641ba7475975972381f8a,2018-01-28T00:01:23,350,0,3.85318701054e+20,0.0,1.1009105744399999e+18,0,3.103450252254699e+18,0,0.7629308703310556,0,122558.37428571428,42895431
0x13a1c862d2db8d12692aa69277d04a0eccf52a43,2020-03-06T18:21:59,0,0,0.0,0.0,0,0,0,0,0,0,0,383185
0x2f55eeacb092b7a50d6650a2a5c45c2d59043dbc,2019-12-28T03:04:27,0,0,0.0,0.0,0,0,0,0,0,0,0,23577399
0x9b2a2a33e6968b0b7f36aef7a75523794cef1dc3,2019-09-14T02:04:17,0,0,0.0,0.0,0,0,0,0,0,0,0,243431
0x8af18c5aacee4de1a1a4a6bfee7b5aa0477b077b,2019-08-16T18:06:55,0,0,0.0,0.0,0,0,0,0,0,0,0,7522370
0x1e5028fcb334d79633f5a6665347d2eaa02cb406,2019-01-12T01:06:36,0,0,0.0,0.0,0,0,0,0,0,0,0,53824470
0xcf2c2cbac052790cbe405cfef021534b77a6fd81,2019-01-12T00:40:00,0,0,0.0,0.0,0,0,0,0,0,0,0,27497681
0x1c02ce498dc6d0d6ef05a253e021258b07eeba91,2017-09-28T04:31:47,198,0,7.833774e+19,0.0,3.956451515151515e+17,0,2.0391705135223286e+18,0,0.9624782771407885,0,274724.7373737374,54395498
0x20fab7f828042de5759ac26bc33ac664d054b0ec,2018-04-01T23:14:24,3,0,1349118014098283.0,0.0,449706004699427.7,0,635980330926549.4,0,0.6666666666666666,0,141.33333333333334,424
0x25d118b93ca97a61ab2ecf71827672d76d4bc1be,2018-11-09T17:43:54,0,0,0.0,0.0,0,0,0,0,0,0,0,5443091
0x2ccbe56f30317fa86eec7147195ff6445cd74c81,2018-09-29T23:22:29,0,0,0.0,0.0,0,0,0,0,0,0,0,467392
0x2fc7a61a978204f467c417f757447421d6367528,2018-06-12T11:09:30,6,0,1.2e+17,0.0,2e+16,0,4.472135954999579e+16,0,0.8333333333333334,0,28512.666666666668,171076
0x309a0465ba40b6b756ef4899dd624ead009a8f50,2018-04-12T03:33:12,3,0,1.1000935205937142e+17,0.0,3.666978401979047e+16,0,4.497312568311067e+16,0,0.6060622162238275,0,248.33333333333334,745
0x5ae6824fd91ec7957efbb7fd26f2439f792ff099,2018-10-24T18:25:11,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0x9f84f6cf3cbdb1a6a1a0ef4b9bd2021da3649ed6,2018-01-01T02:32:24,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0xbdd1117ba4de088a62d1e6029e41f24415958129,2018-05-17T18:01:50,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0xfc0b712b66f2d84b0659624feb637f7eb048c546,2018-10-24T15:41:06,0,0,0.0,0.0,0,0,0,0,0,0,0,21091
